,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Airport IATA,Year,Type ,Month ,Arrival/Departure,Destination_City ,Pax,ATMs,,,,,,,,
,DMM,2025,Domestic,Jan,Arrival,Abhaÿ," 20,359 ", 132 ,,,,,,,,
,DMM,2025,Domestic,Feb,Arrival,Abhaÿ," 17,561 ", 117 ,,,,,,,,
,DMM,2025,Domestic,Mar,Arrival,Abhaÿ," 15,262 ", 122 ,,,,,,,,
,DMM,2025,Domestic,Apr,Arrival,Abhaÿ," 23,333 ", 150 ,,,,,,,,
,DMM,2025,Domestic,May,Arrival,Abhaÿ," 22,267 ", 162 ,,,,,,,,
,DMM,2025,Domestic,Jun,Arrival,Abhaÿ," 21,553 ", 166 ,,,,,,,,
,DMM,2025,Domestic,Jul,Arrival,Abhaÿ," 23,046 ", 181 ,,,,,,,,
,DMM,2025,Domestic,Aug,Arrival,Abhaÿ," 31,214 ", 180 ,,,,,,,,
,DMM,2025,Domestic,Sep,Arrival,Abhaÿ," 22,656 ", 158 ,,,,,,,,
,DMM,2025,Domestic,Oct,Arrival,Abhaÿ," 21,203 ", 155 ,,,,,,,,
,DMM,2025,Domestic,Jan,Departue ,Abhaÿ," 20,294 ", 132 ,,,,,,,,
,DMM,2025,Domestic,Feb,Departue ,Abhaÿ," 17,476 ", 117 ,,,,,,,,
,DMM,2025,Domestic,Mar,Departue ,Abhaÿ," 19,030 ", 123 ,,,,,,,,
,DMM,2025,Domestic,Apr,Departue ,Abhaÿ," 20,066 ", 150 ,,,,,,,,
,DMM,2025,Domestic,May,Departue ,Abhaÿ," 24,514 ", 162 ,,,,,,,,
,DMM,2025,Domestic,Jun,Departue ,Abhaÿ," 24,527 ", 167 ,,,,,,,,
,DMM,2025,Domestic,Jul,Departue ,Abhaÿ," 31,966 ", 182 ,,,,,,,,
,DMM,2025,Domestic,Aug,Departue ,Abhaÿ," 24,429 ", 178 ,,,,,,,,
,DMM,2025,Domestic,Sep,Departue ,Abhaÿ," 18,911 ", 158 ,,,,,,,,
,DMM,2025,Domestic,Oct,Departue ,Abhaÿ," 21,008 ", 155 ,,,,,,,,
,DMM,2025,Domestic,Jan,Arrival,Al-Baha," 2,239 ", 17 ,,,,,,,,
,DMM,2025,Domestic,Feb,Arrival,Al-Baha," 1,957 ", 16 ,,,,,,,,
