,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Airport IATA,Year,Type ,Month ,Arrival/Departure,Destination_City ,Pax,ATMs,,,,,,,,
,DMM,2025,International,Jan,Arrival,Abu Dhabi," 19,963 ", 122 ,,,,,,,,
,DMM,2025,International,Feb,Arrival,Abu Dhabi," 17,381 ", 107 ,,,,,,,,
,DMM,2025,International,Mar,Arrival,Abu Dhabi," 11,626 ", 114 ,,,,,,,,
,DMM,2025,International,Apr,Arrival,Abu Dhabi," 15,626 ", 111 ,,,,,,,,
,DMM,2025,International,May,Arrival,Abu Dhabi," 14,186 ", 106 ,,,,,,,,
,DMM,2025,International,Jun,Arrival,Abu Dhabi," 16,576 ", 112 ,,,,,,,,
,DMM,2025,International,Jul,Arrival,Abu Dhabi," 16,848 ", 106 ,,,,,,,,
,DMM,2025,International,Aug,Arrival,Abu Dhabi," 15,648 ", 100 ,,,,,,,,
,DMM,2025,International,Sep,Arrival,Abu Dhabi," 12,168 ", 91 ,,,,,,,,
,DMM,2025,International,Oct,Arrival,Abu Dhabi," 17,247 ", 123 ,,,,,,,,
,DMM,2025,International,Jan,Departure,Abu Dhabi," 18,389 ", 122 ,,,,,,,,
,DMM,2025,International,Feb,Departure,Abu Dhabi," 15,686 ", 107 ,,,,,,,,
,DMM,2025,International,Mar,Departure,Abu Dhabi," 15,214 ", 114 ,,,,,,,,
,DMM,2025,International,Apr,Departure,Abu Dhabi," 16,664 ", 111 ,,,,,,,,
,DMM,2025,International,May,Departure,Abu Dhabi," 16,351 ", 106 ,,,,,,,,
,DMM,2025,International,Jun,Departure,Abu Dhabi," 16,927 ", 112 ,,,,,,,,
,DMM,2025,International,Jul,Departure,Abu Dhabi," 14,640 ", 106 ,,,,,,,,
,DMM,2025,International,Aug,Departure,Abu Dhabi," 12,516 ", 100 ,,,,,,,,
,DMM,2025,International,Sep,Departure,Abu Dhabi," 11,152 ", 91 ,,,,,,,,
,DMM,2025,International,Oct,Departure,Abu Dhabi," 14,649 ", 123 ,,,,,,,,
,DMM,2025,International,Jan,Arrival,Addis Ababa," 4,010 ", 31 ,,,,,,,,
,DMM,2025,International,Feb,Arrival,Addis Ababa," 4,070 ", 28 ,,,,,,,,
,DMM,2025,International,Mar,Arrival,Addis Ababa," 4,393 ", 31 ,,,,,,,,
,DMM,2025,International,Apr,Arrival,Addis Ababa," 3,629 ", 27 ,,,,,,,,
,DMM,2025,International,May,Arrival,Addis Ababa," 3,620 ", 30 ,,,,,,,,
,DMM,2025,International,Jun,Arrival,Addis Ababa," 3,915 ", 29 ,,,,,,,,
,DMM,2025,International,Jul,Arrival,Addis Ababa," 4,186 ", 29 ,,,,,,,,
,DMM,2025,International,Aug,Arrival,Addis Ababa," 4,564 ", 31 ,,,,,,,,
,DMM,2025,International,Sep,Arrival,Addis Ababa," 4,377 ", 30 ,,,,,,,,
,DMM,2025,International,Oct,Arrival,Addis Ababa," 4,215 ", 29 ,,,,,,,,
